DATETIME,TEMPERATURE
20200114T05:36:01,temp=37.0'C
20200114T05:38:01,temp=38.0'C
20200114T05:40:01,temp=36.0'C
20200114T05:42:01,temp=37.0'C
20200114T05:44:01,temp=36.0'C
20200114T05:46:01,temp=37.0'C
20200114T05:48:01,temp=38.0'C
20200114T05:50:01,temp=37.0'C
20200114T05:52:01,temp=37.0'C
20200114T05:54:01,temp=38.0'C
20200114T05:56:01,temp=37.0'C
20200114T05:58:01,temp=36.0'C
20200114T06:00:01,temp=38.0'C
20200114T06:02:01,temp=37.0'C
20200114T06:04:01,temp=37.0'C
20200114T06:06:02,temp=36.0'C
20200114T06:08:01,temp=37.0'C
20200114T06:10:01,temp=37.0'C
20200114T06:12:01,temp=37.0'C
20200114T06:14:01,temp=37.0'C
20200114T06:16:01,temp=37.0'C
20200114T06:18:02,temp=37.0'C
20200114T06:20:01,temp=36.0'C
20200114T06:22:01,temp=37.0'C
20200114T06:24:01,temp=37.0'C
20200114T06:26:01,temp=36.0'C
20200114T06:28:01,temp=36.0'C
20200114T06:30:01,temp=37.0'C
20200114T06:32:01,temp=37.0'C
20200114T06:34:01,temp=38.0'C
20200114T06:36:01,temp=37.0'C
20200114T06:38:02,temp=37.0'C
20200114T06:40:01,temp=37.0'C
20200114T06:42:01,temp=37.0'C
20200114T06:44:01,temp=37.0'C
20200114T06:46:01,temp=36.0'C
20200114T06:48:01,temp=38.0'C
20200114T06:50:01,temp=37.0'C
20200114T06:52:02,temp=38.0'C
20200114T06:54:01,temp=37.0'C
20200114T06:56:01,temp=37.0'C
20200114T06:58:01,temp=37.0'C
20200114T07:00:01,temp=37.0'C
20200114T07:02:01,temp=37.0'C
20200114T07:04:01,temp=37.0'C
20200114T07:06:01,temp=36.0'C
20200114T07:08:01,temp=36.0'C
20200114T07:10:01,temp=37.0'C
20200114T07:12:01,temp=37.0'C
20200114T07:14:01,temp=37.0'C
20200114T07:16:01,temp=37.0'C
20200114T07:18:01,temp=37.0'C
20200114T07:20:02,temp=37.0'C
20200114T07:22:01,temp=37.0'C
20200114T07:24:01,temp=37.0'C
20200114T07:26:01,temp=37.0'C
20200114T07:28:01,temp=37.0'C
20200114T07:30:01,temp=37.0'C
20200114T07:32:01,temp=36.0'C
20200114T07:34:02,temp=38.0'C
20200114T07:36:01,temp=37.0'C
20200114T07:38:01,temp=37.0'C
20200114T07:40:01,temp=37.0'C
20200114T07:42:01,temp=38.0'C
20200114T07:44:01,temp=37.0'C
20200114T07:46:01,temp=37.0'C
20200114T07:48:01,temp=37.0'C
20200114T07:50:01,temp=37.0'C
20200114T07:52:01,temp=37.0'C
20200114T07:54:01,temp=38.0'C
20200114T07:56:01,temp=37.0'C
20200114T07:58:01,temp=37.0'C
20200114T08:00:01,temp=37.0'C
20200114T08:02:01,temp=36.0'C
20200114T08:04:01,temp=38.0'C
20200114T08:06:01,temp=37.0'C
20200114T08:08:01,temp=36.0'C
20200114T08:10:01,temp=37.0'C
20200114T08:12:01,temp=37.0'C
20200114T08:14:01,temp=37.0'C
20200114T08:16:01,temp=37.0'C
20200114T08:18:01,temp=37.0'C
20200114T08:20:01,temp=37.0'C
20200114T08:22:01,temp=37.0'C
20200114T08:24:01,temp=36.0'C
20200114T08:26:01,temp=36.0'C
20200114T08:28:01,temp=37.0'C
20200114T08:30:02,temp=37.0'C
20200114T08:32:01,temp=37.0'C
20200114T08:34:01,temp=37.0'C
20200114T08:36:01,temp=37.0'C
20200114T08:38:01,temp=37.0'C
20200114T08:40:01,temp=37.0'C
20200114T08:42:01,temp=37.0'C
20200114T08:44:01,temp=37.0'C
20200114T08:46:01,temp=36.0'C
20200114T08:48:01,temp=37.0'C
20200114T08:50:01,temp=37.0'C
20200114T08:52:01,temp=37.0'C
20200114T08:54:01,temp=37.0'C
20200114T08:56:01,temp=37.0'C
20200114T08:58:01,temp=36.0'C
20200114T09:00:01,temp=38.0'C
20200114T09:02:01,temp=36.0'C
20200114T09:04:01,temp=38.0'C
20200114T09:06:01,temp=37.0'C
20200114T09:08:01,temp=37.0'C
20200114T09:10:01,temp=37.0'C
20200114T09:12:01,temp=37.0'C
20200114T09:14:01,temp=36.0'C
20200114T09:16:01,temp=37.0'C
20200114T09:18:01,temp=38.0'C
20200114T09:20:01,temp=37.0'C
20200114T09:22:01,temp=37.0'C
20200114T09:24:01,temp=38.0'C
20200114T09:26:02,temp=36.0'C
20200114T09:28:01,temp=37.0'C
20200114T09:30:01,temp=38.0'C
20200114T09:32:01,temp=38.0'C
20200114T09:34:01,temp=37.0'C
20200114T09:36:01,temp=37.0'C
20200114T09:38:01,temp=37.0'C
20200114T09:40:02,temp=36.0'C
20200114T09:42:01,temp=37.0'C
20200114T09:44:01,temp=37.0'C
20200114T09:46:01,temp=37.0'C
20200114T09:48:01,temp=37.0'C
20200114T09:50:01,temp=36.0'C
20200114T09:52:01,temp=37.0'C
20200114T09:54:01,temp=37.0'C
20200114T09:56:01,temp=37.0'C
20200114T09:58:01,temp=37.0'C
20200114T10:00:01,temp=37.0'C
20200114T10:02:01,temp=37.0'C
20200114T10:04:01,temp=37.0'C
20200114T10:06:01,temp=36.0'C
20200114T10:08:01,temp=37.0'C
20200114T10:10:01,temp=38.0'C
20200114T10:12:01,temp=37.0'C
20200114T10:14:01,temp=37.0'C
20200114T10:16:01,temp=38.0'C
20200114T10:18:01,temp=38.0'C
20200114T10:20:01,temp=36.0'C
20200114T10:22:02,temp=38.0'C
20200114T10:24:01,temp=37.0'C
20200114T10:26:01,temp=37.0'C
20200114T10:28:01,temp=37.0'C
20200114T10:30:01,temp=38.0'C
20200114T10:32:01,temp=37.0'C
20200114T10:34:01,temp=37.0'C
20200114T10:36:02,temp=37.0'C
20200114T10:38:01,temp=38.0'C
20200114T10:40:01,temp=37.0'C
20200114T10:42:01,temp=37.0'C
20200114T10:44:01,temp=37.0'C
20200114T10:46:01,temp=37.0'C
20200114T10:48:01,temp=38.0'C
20200114T10:50:01,temp=36.0'C
20200114T10:52:01,temp=37.0'C
20200114T10:54:01,temp=37.0'C
20200114T10:56:01,temp=37.0'C
20200114T10:58:01,temp=38.0'C
20200114T11:00:01,temp=36.0'C
20200114T11:02:01,temp=36.0'C
20200114T11:04:01,temp=37.0'C
20200114T11:06:01,temp=37.0'C
20200114T11:08:01,temp=36.0'C
20200114T11:10:01,temp=38.0'C
20200114T11:12:01,temp=37.0'C
20200114T11:14:01,temp=37.0'C
20200114T11:16:01,temp=37.0'C
20200114T11:18:02,temp=37.0'C
20200114T11:20:01,temp=37.0'C
20200114T11:22:01,temp=36.0'C
20200114T11:24:01,temp=37.0'C
20200114T11:26:01,temp=36.0'C
20200114T11:28:01,temp=36.0'C
20200114T11:30:01,temp=37.0'C
20200114T11:32:02,temp=37.0'C
20200114T11:34:01,temp=36.0'C
20200114T11:36:01,temp=36.0'C
20200114T11:38:01,temp=37.0'C
20200114T11:40:01,temp=36.0'C
20200114T11:42:01,temp=36.0'C
20200114T11:44:01,temp=36.0'C
20200114T11:46:01,temp=37.0'C
20200114T11:48:01,temp=37.0'C
20200114T11:50:01,temp=36.0'C
20200114T11:52:01,temp=36.0'C
20200114T11:54:01,temp=36.0'C
20200114T11:56:01,temp=37.0'C
20200114T11:58:01,temp=35.0'C
20200114T12:00:01,temp=36.0'C
20200114T12:02:01,temp=36.0'C
20200114T12:04:01,temp=35.0'C
20200114T12:06:01,temp=35.0'C
20200114T12:08:01,temp=36.0'C
20200114T12:10:01,temp=36.0'C
20200114T12:12:01,temp=36.0'C
20200114T12:14:01,temp=35.0'C
20200114T12:16:02,temp=36.0'C
20200114T12:18:01,temp=35.0'C
20200114T12:20:01,temp=36.0'C
20200114T12:22:01,temp=35.0'C
20200114T12:24:01,temp=37.0'C
20200114T12:26:01,temp=36.0'C
20200114T12:28:01,temp=35.0'C
20200114T12:30:01,temp=35.0'C
20200114T12:32:01,temp=36.0'C
20200114T12:34:01,temp=35.0'C
20200114T12:36:01,temp=36.0'C
20200114T12:38:01,temp=36.0'C
20200114T12:40:01,temp=36.0'C
20200114T12:42:01,temp=35.0'C
20200114T12:44:01,temp=36.0'C
20200114T12:46:01,temp=35.0'C
20200114T12:48:01,temp=35.0'C
20200114T12:50:01,temp=35.0'C
20200114T12:52:01,temp=36.0'C
20200114T12:54:01,temp=36.0'C
20200114T12:56:01,temp=37.0'C
20200114T12:58:01,temp=35.0'C
20200114T13:00:01,temp=36.0'C
20200114T13:02:01,temp=36.0'C
20200114T13:04:01,temp=35.0'C
20200114T13:06:01,temp=35.0'C
20200114T13:08:01,temp=36.0'C
20200114T13:10:01,temp=36.0'C
20200114T13:12:02,temp=36.0'C
20200114T13:14:01,temp=36.0'C
20200114T13:16:01,temp=36.0'C
20200114T13:18:01,temp=36.0'C
20200114T13:20:01,temp=35.0'C
20200114T13:22:01,temp=35.0'C
20200114T13:24:02,temp=36.0'C
20200114T13:26:01,temp=36.0'C
20200114T13:28:01,temp=36.0'C
20200114T13:30:01,temp=35.0'C
20200114T13:32:01,temp=36.0'C
20200114T13:34:01,temp=36.0'C
20200114T13:36:01,temp=37.0'C
20200114T13:38:01,temp=36.0'C
20200114T13:40:01,temp=36.0'C
20200114T13:42:01,temp=36.0'C
20200114T13:44:01,temp=36.0'C
20200114T13:46:01,temp=35.0'C
20200114T13:48:01,temp=35.0'C
20200114T13:50:01,temp=36.0'C
20200114T13:52:01,temp=36.0'C
20200114T13:54:01,temp=36.0'C
20200114T13:56:01,temp=37.0'C
20200114T13:58:01,temp=36.0'C
20200114T14:00:01,temp=35.0'C
20200114T14:02:01,temp=35.0'C
20200114T14:04:01,temp=36.0'C
20200114T14:06:01,temp=35.0'C
20200114T14:08:02,temp=35.0'C
20200114T14:10:01,temp=36.0'C
20200114T14:12:01,temp=36.0'C
20200114T14:14:01,temp=36.0'C
20200114T14:16:01,temp=37.0'C
20200114T14:18:01,temp=35.0'C
20200114T14:20:02,temp=36.0'C
20200114T14:22:01,temp=37.0'C
20200114T14:24:01,temp=35.0'C
20200114T14:26:01,temp=36.0'C
20200114T14:28:01,temp=36.0'C
20200114T14:30:01,temp=36.0'C
20200114T14:32:01,temp=36.0'C
20200114T14:34:01,temp=35.0'C
20200114T14:36:01,temp=36.0'C
20200114T14:38:01,temp=36.0'C
20200114T14:40:01,temp=36.0'C
20200114T14:42:01,temp=36.0'C
20200114T14:44:01,temp=36.0'C
20200114T14:46:01,temp=35.0'C
20200114T14:48:01,temp=35.0'C
20200114T14:50:01,temp=36.0'C
20200114T14:52:01,temp=36.0'C
20200114T14:54:01,temp=36.0'C
20200114T14:56:01,temp=36.0'C
20200114T14:58:01,temp=35.0'C
20200114T15:00:01,temp=35.0'C
20200114T15:02:01,temp=35.0'C
20200114T15:04:02,temp=36.0'C
20200114T15:06:01,temp=35.0'C
20200114T15:08:01,temp=35.0'C
20200114T15:10:01,temp=35.0'C
20200114T15:12:01,temp=35.0'C
20200114T15:14:01,temp=36.0'C
20200114T15:16:01,temp=35.0'C
20200114T15:18:01,temp=35.0'C
20200114T15:20:01,temp=36.0'C
20200114T15:22:01,temp=35.0'C
20200114T15:24:01,temp=36.0'C
20200114T15:26:01,temp=35.0'C
20200114T15:28:01,temp=36.0'C
20200114T15:30:01,temp=36.0'C
20200114T15:32:01,temp=36.0'C
20200114T15:34:01,temp=36.0'C
20200114T15:36:01,temp=35.0'C
20200114T15:38:01,temp=35.0'C
20200114T15:40:01,temp=36.0'C
20200114T15:42:01,temp=36.0'C
20200114T15:44:01,temp=35.0'C
20200114T15:46:01,temp=36.0'C
20200114T15:48:01,temp=37.0'C
20200114T15:50:01,temp=36.0'C
20200114T15:52:01,temp=35.0'C
20200114T15:54:01,temp=35.0'C
20200114T15:56:01,temp=35.0'C
20200114T15:58:01,temp=35.0'C
20200114T16:00:02,temp=36.0'C
20200114T16:02:01,temp=35.0'C
20200114T16:04:01,temp=35.0'C
20200114T16:06:01,temp=36.0'C
20200114T16:08:01,temp=35.0'C
20200114T16:10:01,temp=35.0'C
20200114T16:12:01,temp=35.0'C
20200114T16:14:02,temp=35.0'C
20200114T16:16:01,temp=36.0'C
20200114T16:18:01,temp=36.0'C
20200114T16:20:01,temp=36.0'C
20200114T16:22:01,temp=36.0'C
20200114T16:24:01,temp=36.0'C
20200114T16:26:01,temp=36.0'C
20200114T16:28:01,temp=36.0'C
20200114T16:30:01,temp=36.0'C
20200114T16:32:01,temp=35.0'C
20200114T16:34:01,temp=35.0'C
20200114T16:36:01,temp=36.0'C
20200114T16:38:01,temp=37.0'C
20200114T16:40:01,temp=36.0'C
20200114T16:42:01,temp=36.0'C
20200114T16:44:01,temp=35.0'C
20200114T16:46:01,temp=35.0'C
20200114T16:48:01,temp=36.0'C
20200114T16:50:01,temp=36.0'C
20200114T16:52:01,temp=36.0'C
20200114T16:54:01,temp=36.0'C
20200114T16:56:02,temp=36.0'C
20200114T16:58:01,temp=35.0'C
20200114T17:00:01,temp=35.0'C
20200114T17:02:01,temp=35.0'C
20200114T17:04:01,temp=37.0'C
20200114T17:06:01,temp=37.0'C
20200114T17:08:01,temp=36.0'C
20200114T17:10:02,temp=35.0'C
20200114T17:12:01,temp=36.0'C
20200114T17:14:01,temp=35.0'C
20200114T17:16:01,temp=36.0'C
20200114T17:18:01,temp=35.0'C
20200114T17:20:01,temp=36.0'C
20200114T17:22:01,temp=37.0'C
20200114T17:24:01,temp=35.0'C
20200114T17:26:01,temp=36.0'C
20200114T17:28:01,temp=36.0'C
20200114T17:30:01,temp=37.0'C
20200114T17:32:01,temp=36.0'C
20200114T17:34:01,temp=36.0'C
20200114T17:36:01,temp=35.0'C
20200114T17:38:01,temp=36.0'C
20200114T17:40:01,temp=35.0'C
20200114T17:42:01,temp=35.0'C
20200114T17:44:01,temp=35.0'C
20200114T17:46:01,temp=36.0'C
20200114T17:48:01,temp=36.0'C
20200114T17:50:01,temp=35.0'C
20200114T17:52:01,temp=37.0'C
20200114T17:54:01,temp=36.0'C
20200114T17:56:01,temp=36.0'C
20200114T17:58:01,temp=35.0'C
20200114T18:00:01,temp=36.0'C
20200114T18:02:01,temp=37.0'C
20200114T18:04:01,temp=36.0'C
20200114T18:06:02,temp=36.0'C
20200114T18:08:01,temp=37.0'C
20200114T18:10:01,temp=36.0'C
20200114T18:12:01,temp=35.0'C
20200114T18:14:01,temp=36.0'C
20200114T18:16:01,temp=36.0'C
20200114T18:18:02,temp=36.0'C
20200114T18:20:01,temp=36.0'C
20200114T18:22:01,temp=36.0'C
20200114T18:24:01,temp=37.0'C
20200114T18:26:01,temp=35.0'C
20200114T18:28:01,temp=35.0'C
20200114T18:30:01,temp=36.0'C
20200114T18:32:01,temp=36.0'C
20200114T18:34:01,temp=36.0'C
20200114T18:36:01,temp=36.0'C
20200114T18:38:01,temp=36.0'C
20200114T18:40:01,temp=36.0'C
20200114T18:42:01,temp=36.0'C
20200114T18:44:01,temp=36.0'C
20200114T18:46:01,temp=36.0'C
20200114T18:48:01,temp=36.0'C
20200114T18:50:01,temp=37.0'C
20200114T18:52:01,temp=36.0'C
20200114T18:54:01,temp=37.0'C
20200114T18:56:01,temp=35.0'C
20200114T18:58:01,temp=37.0'C
20200114T19:00:01,temp=36.0'C
20200114T19:02:02,temp=36.0'C
20200114T19:04:01,temp=36.0'C
20200114T19:06:01,temp=36.0'C
20200114T19:08:01,temp=36.0'C
20200114T19:10:01,temp=36.0'C
20200114T19:12:01,temp=37.0'C
20200114T19:14:01,temp=35.0'C
20200114T19:16:02,temp=37.0'C
20200114T19:18:01,temp=36.0'C
20200114T19:20:01,temp=35.0'C
20200114T19:22:01,temp=36.0'C
20200114T19:24:01,temp=36.0'C
20200114T19:26:01,temp=35.0'C
20200114T19:28:02,temp=36.0'C
20200114T19:30:01,temp=36.0'C
20200114T19:32:01,temp=37.0'C
20200114T19:34:01,temp=37.0'C
20200114T19:36:01,temp=37.0'C
20200114T19:38:01,temp=37.0'C
20200114T19:40:01,temp=37.0'C
20200114T19:42:01,temp=37.0'C
20200114T19:44:01,temp=36.0'C
20200114T19:46:01,temp=36.0'C
20200114T19:48:01,temp=36.0'C
20200114T19:50:01,temp=37.0'C
20200114T19:52:01,temp=36.0'C
20200114T19:54:01,temp=36.0'C
20200114T19:56:01,temp=37.0'C
20200114T19:58:01,temp=36.0'C
20200114T20:00:01,temp=37.0'C
20200114T20:02:01,temp=37.0'C
20200114T20:04:01,temp=37.0'C
20200114T20:06:01,temp=37.0'C
