BOOK_URL;NUM_MAX_PAGES
http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v3.1;http://literature.awgp.org/book/adhayatm_vidhya_ka_pravesh_dwar/v3.8
http://literature.awgp.org/book/Adhyatmvad_Hi_Kyon/v1.1;http://literature.awgp.org/book/Adhyatmvad_Hi_Kyon/v1.46
http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v2.1;http://literature.awgp.org/book/adhyatamvadi_bhautikta_apnaai_jaye/v2.160
http://literature.awgp.org/book/anachar_se_kaise_nipate/v1.1;http://literature.awgp.org/book/anachar_se_kaise_nipate/v1.48
http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v1.1;http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v1.33
http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v2.1;http://literature.awgp.org/book/anaddi_gurumantra_gayatri/v2.4
http://literature.awgp.org/book/Antah_Urja_Jagaran_Satra/v1.1;http://literature.awgp.org/book/Antah_Urja_Jagaran_Satra/v1.65
http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v2.1;http://literature.awgp.org/book/antariksh_vijnan_evan_paroksh_ka_anusandhan/v2.9
http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v2.1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v2.19
http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v5.1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v5.208
http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v3.1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v3.232
http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v4.1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v4.145
http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v1.1;http://literature.awgp.org/book/antarjagat_kee_yatra_ka_jnanvijnan/v1.32
http://literature.awgp.org/book/andh_prampraye_chode_bhi_tode_bhi/v1.1;http://literature.awgp.org/book/andh_prampraye_chode_bhi_tode_bhi/v1.5
http://literature.awgp.org/book/andhavishvas_se_labh_kuchh_naheen_hani_apar_hain/v1.1;http://literature.awgp.org/book/andhavishvas_se_labh_kuchh_naheen_hani_apar_hain/v1.27
http://literature.awgp.org/book/annprashan_chudakarm_aur_vidyarmbh_sanskar_paddhati/v1.1;http://literature.awgp.org/book/annprashan_chudakarm_aur_vidyarmbh_sanskar_paddhati/v1.5
http://literature.awgp.org/book/apna_uddhar_aap_kare/v1.1;http://literature.awgp.org/book/apna_uddhar_aap_kare/v1.12
http://literature.awgp.org/book/apana_sudhar_sansar_kee_sabase_badaee_seva/v1.1;http://literature.awgp.org/book/apana_sudhar_sansar_kee_sabase_badaee_seva/v1.32
http://literature.awgp.org/book/apana_sudhar_sansar_kee_sabase_badaee_seva/v1.1;http://literature.awgp.org/book/apana_sudhar_sansar_kee_sabase_badaee_seva/v1.32
